speciesKey,iucnRedListCategory,iucnRedListStatus
2607557,NE,Not Evaluated
8597577,NE,Not Evaluated
2607575,NE,Not Evaluated
9399576,NE,Not Evaluated
3430837,NE,Not Evaluated
7620014,NE,Not Evaluated
2603300,NE,Not Evaluated
3432758,NE,Not Evaluated
2600572,NE,Not Evaluated
8934912,NE,Not Evaluated
