speciesKey,vernacularName
7410701,Transparent Burnet
1095904,Museum Beetle
8242995,Breitblaettriger Ehrenpreis
3118526,Rayed Tansy
8998684,Broad-Leaved Helleborine
2816250,Common Twayblade
7790073,Kreikankannusruoho
1431748,Kultaharjakas
8400876,Oeillet Des Chartreux
5758859,Dennenrookwants
5409933,Clustered Bellflower
4485898,Koolwants
6411747,Edel-Gamander
1920712,Brimstone
7925535,Common Bistort
8165236,Yellow Mountain Saxifrage
6437017,Firkantperikum
3032837,Trauben-Steinbrech
3922007,NA
4487665,NA
2008880,Timothy Grassbug
1353236,Fyrbandbi
2078821,Gorse Shieldbug
4461877,Poriol Dolent
1678420,Tongzoenvlieg
9526078,NA
2160133,Cross Orbweaver
8179794,Geflecktes Knabenkraut
6274256,Indian Green Tortoise Beetle
5231770,Alpine Accentor
2480506,Golden Eagle
9687165,White Wagtail
2492867,Woodchat Shrike
9515886,Barn Swallow
2487883,European Crested Tit
2480242,Northern Lapwing
2475443,European Bee-Eater
2494422,Common Chaffinch
2480564,Long-Legged Buzzard
5845582,European Greenfinch
9362027,Gadwall
2482065,Black-Necked Grebe
2294287,Escargot
5229490,Eurasian Magpie
9705453,Great Tit
2480487,Hen Harrier
8109681,European Nightjar
2481725,Spotted Redshank
8049830,Speckled Wood
1911461,Small Heath
9761484,Mallard
5739361,Eastern Olivaceous Warbler
2480537,Common Buzzard
2481912,White Stork
9701857,Western Yellow Wagtail
2474156,Common Quail
2480482,Western Marsh Harrier
2494543,Eurasian Bullfinch
2492462,European Robin
2494686,European Goldfinch
1938520,Clouded Apollo
2497306,Long-Eared Owl
6065841,Little Gull
5137612,Clouded Yellow
2482492,Common Raven
2481119,Black Tern
2480666,Short-Toed Eagle
2473958,Grey Partridge
2482048,Little Grebe
2480495,Montagu's Harrier
2480863,Black-Crowned Night Heron
1898286,Red Admiral
2492956,Eurasian Blackcap
2481713,Wood Sandpiper
9752617,Great Egret
2494200,European Serin
2481714,Common Redshank
9797180,Grey Heron
9809229,Common Starling
2497266,Little Owl
9413670,Yellow-Legged Gull
2493129,Sedge Warbler
2480910,Eurasian Bittern
5231198,Eurasian Tree Sparrow
2481062,Red-Footed Falcon
2481909,Black Stork
2481121,Whiskered Tern
2477927,White-Backed Woodpecker
2495414,Rock Dove
2474055,Rock Partridge
1626315,Duizendbladboorvlieg
6161347,Grass Snake
2925892,Blueweed
2491498,Rock Bunting
2146584,Lycose Tarentuline
5249496,Blek Kantarell
4431801,Anthaxie Fulgurante
2477411,Alpine Swift
7307319,Alpen- Steinquendel
1536009,Donkere Fopwesp
7437802,Stripetege
8411684,Dennenboktor
8262702,Wild Parsnip
3033263,Hvitveis
5032718,Bedeguar Gall
8409388,NA
7874883,Germander Speedwell
2166135,Kantig Krabbspindel
2542395,Red-Belted Bracket
2890560,Blankstorkenebb
3172549,Trumpet-Creeper
5414989,Grecian Foxglove
4485895,Zuidelijke Koolschildwants
8352976,Schlauch-Enzian
3189747,Hoary Plantain
1335213,Sculptured Resin Bee
4299368,Painted Lady
2139961,Barn Funnel Weaver
2134371,NA
2152911,Comb-Footed Cellar Spider
2151378,Cave Spider
2151599,Holenwielwebspin
4550544,Steentrechterspin
8773033,Middle Spotted Woodpecker
2487385,Eurasian Penduline Tit
2490604,Woodlark
8000602,Eurasian Wigeon
2498255,Common Pochard
4408759,European Stonechat
2490669,Crested Lark
7901064,Song Thrush
2495455,Common Wood Pigeon
2493052,Willow Warbler
2478523,European Green Woodpecker
2495708,European Turtle-Dove
2491557,Reed Bunting
9752149,Fasan
7634625,Corn Bunting
9537647,Goosander
6065824,Black-Headed Gull
5228199,Common Moorhen
2492576,Spotted Flycatcher
9274012,Garganey
6100954,Western Jackdaw
2492601,Collared Flycatcher
8012314,Eurasian Wryneck
2481800,Common Sandpiper
2495696,Eurasian Collared Dove
2478031,Syrian Woodpecker
2481728,Green Sandpiper
2489160,Sand Martin
2495000,Long-Tailed Tit
9015784,Lesser Spotted Woodpecker
2484596,Goldcrest
2475532,Common Kingfisher
7660710,Common Nightingale
5231918,Common Cuckoo
2492943,Common Whitethroat
2482513,Rook
2493128,Great Reed Warbler
6092830,Eurasian Siskin
2491534,Yellowhammer
2481035,Eurasian Hobby
8332393,Northern Shoveler
2474831,Water Rail
2490719,Common Blackbird
2493091,Common Chiffchaff
2487879,Eurasian Blue Tit
9451184,Indian Peafowl
2487843,Marsh Tit
9409796,Carrion Crow
2492955,Barred Warbler
2484916,Eurasian Nuthatch
7788295,Eurasian Oystercatcher
2475365,European Roller
2488949,Pirol
9282206,Tawny Owl
5231438,Winter Wren
2474377,Eurasian Coot
2480726,Osprey
5739317,Common Redstart
2498259,Ferruginous Duck
9415596,Horned Lark
2492854,Lesser Grey Shrike
2477968,Great Spotted Woodpecker
10095118,Pygmy Cormorant
2498388,Mandarin Duck
1427037,Bosbeekjuffer
1919712,Orange-Tip
5346998,Lakrismjelt
1340344,Hill Cuckoo-Bee
8622852,Stonewall Rim Lichen
1427067,Banded Demoiselle
1894840,Small Tortoiseshell
5135513,Meadow Brown
5333294,Sweet Chestnut
5390618,Golden Chamomile
1820406,Gypsy Moth
2808330,Orchis Pyramidal
5421338,Gasplant
2890668,Stankstorkenebb
7555806,Echte Mauerspinne
4506278,Grote Mierwesp
1954563,Speckled Yellow
2879520,NA
8148822,NA
2441056,Domestic Goat
6027089,Perfoliate Alexanders
3171951,Purple Mullein
3189767,Groblad
5219618,Northern White-Breasted Hedgehog
8001799,Blauschwarzer Eisvogel
1080733,NA
5420852,Tysbast
9268470,Geribbelde Tuinslak
5751064,Mylabre Inconstant
2493367,Bearded Reedling
8211070,Eurasian Red Squirrel
2498036,Greylag Goose
2498009,Gravand
9751099,Muscovy Duck
1426293,Kleine Tanglibel
1319599,Balkan Desert Ant
3149879,Hestehov
1325195,Oranje Schorpioenmier
4459177,Cerambicide Del Fico
8370958,Echte Kamille
5372693,Netz-Weide
1340365,Blood-Tailed Bumble Bee
5758736,Gartenwanze
2984535,Humle
1340405,Common Carder Bee
5151589,Oriental Cockroach
1763072,Pale Shoulder
2516847,Fir Broom Rust
2769775,Spineless Butcher's-Broom
7762841,Large Tortoiseshell
1334821,Wool Carder Bee
4535809,Marsh Fritillary
1020926,Collared Flat-Backed Millipede
5220126,European Roe
2816176,Nestwurz
10828425,Coden Fwg Fanfraith
7339269,Kabschia Saxifrage
4459660,NA
1579909,Myrvapenfluga
5751237,Black-Headed Cardinal Beetle
4388646,Syrekanttege
5249271,Jelly Ear
2551542,Charcoal Burner
4392756,Zweipunkt-Ohrwurm
4485722,Ankerwanze
1687559,Large Saw-Tailed Bush-Cricket
2444308,Nose-Horned Viper
8056420,NA
1929697,Small Copper
8731701,NA
12032836,NA
4485845,Kleefkruidschildwants
9072021,Chicken of the Woods
2888605,Krossved
3020791,Sweet Cherry
8105693,Immenblatt
2891079,Rock Crane's-Bill
5352251,Robinia
2687937,Water Horsetail
1710331,Fieber's Mountain Grasshopper
1700310,Blue-Winged Grasshopper
2482054,Great Crested Grebe
1694185,Decticelle Orientale
2974811,Hungarian Vetch
1688490,Graceful Bush-Cricket
3002461,Hunds-Rose
2752979,NA
5690287,Orpin Pourpier
3495681,Morilla Rubia
1861797,Glasvleugelpijlstaart
1649571,Laangzelleg Keeltmustik
1652063,Ljusbandad Kustmygga
1649565,Stor Husmygg
5886130,NA
5886155,NA
2182588,Sheep Tick
1654194,Fangernol-Himmelmustik
1652274,Vexans Mosquito
1648899,Plantenboorsteekmug
1651525,Tree Hole Mosquito
1653175,Grodmygga
1651405,Floodwater Mosquito
5981165,NA
1652991,Northern House Mosquito
4548126,Mediterranean Hyalomma
1653124,Gaarde-Mustik
1650731,Malariamug
5981161,NA
1650338,NA
5886149,NA
1641188,NA
5981236,NA
1632309,NA
9301935,NA
2183577,Blacklegged Tick
5981255,NA
1632544,NA
1631747,NA
3085419,Stein-Nelke
3085413,Deptford Pink
5356345,Gullregn
11035581,Valse Muurschotelkorst
1710962,Stripe-Winged Grasshopper
2468095,Slow Worm
5361909,Fig
3117424,Daisy
3169131,European Spindletree
4490480,NA
9626820,NA
2927324,Yellow Archangel
5334186,Svaleurt
2855860,Chives
12193099,NA
8197849,Common Orange Lichen
2856261,Ail Jaune
1924494,NA
5124911,Tauvlinder
5376075,Garlic Mustard
3412864,Gelobd Dambordje
1686202,Vierpunktige Sichelschrecke
2890541,Little Robin
3189846,Norway Maple
3189866,Eschen-Ahorn
3679859,Convolvolo Elegantissimo
2880580,Turkey Oak
3189815,Horse-Chestnut
2812415,Affen-Knabenkraut
4911839,Purple Edge Bonnet
12205519,NA
2598526,NA
11341514,NA
2619324,NA
10705094,NA
12257099,Flapsporig Menhirzwammetje
8668791,Izabelkleurig Pelsbekertje
2593060,Pocket Plum
2599412,NA
8225376,Schwalbenschwanz
2808565,Narrmarihand
5259057,Vindlad Klockmurkla
1821856,Brown-Tail
5414335,Jordviva
7972010,Engkarse
3105380,Carline Commune
4448343,Red-Breasted Carrion Beetle
2548311,Turkeytail
2857601,Ail Des Ours
3738478,Schuppenwurz
6363496,Pracht-Nelke
6221746,Dark Green Fritillary
2547092,Dryad's Saddle
4486826,Firebug
8068867,Tinder Bracket
5240922,Gulskivemuslingsopp
4911813,Beautiful Bonnet
5359491,NA
5356581,Cicerchia a Pochi Fiori
5285079,Balkan Pine
4522933,Gewone Witvlekmot
1652212,Asian Bush Mosquito
2362955,Gjuca
2433433,Brown Bear
2139028,NA
2139116,NA
2139236,NA
7893880,NA
1653064,NA
2139235,NA
2139266,NA
1653695,Bescheide Mustik
2139309,NA
2139450,NA
2139227,NA
2927078,Bugle Rampante
5249297,Tripe Fungus
5356517,Perennial Pea
6268434,NA
2888443,Corn Poppy
7331666,Hain-Wachtelweizen
5241128,Common Porecrust
5706486,Fat Dormouse
9444556,Great Grey Shrike
2487857,Sombre Tit
2494441,Brambling
2888722,Dwarf Elder
2593405,Golden Cup
1732416,Fox Moth
2426661,Marsh Frog
2752849,Dog's-Tooth-Violet
3172077,Persischer Ehrenpreis
5356666,Gesse De Bauhin
5341187,Alpen-Vergissmeinnicht
3690985,NA
3136333,NA
2704922,Red Fescue
7625655,NA
7363846,Hasenohr-Leimkraut
2681728,Lesser Curled Hook-Moss
2681729,Geveerd Diknerfmos
2676091,Groot Staartjesmos
9011379,Bantry Notchwort
3922862,Renoncule De La Raxalpe
3027648,Alpen-Frauenmantel
2679967,Beekdikkopmos
4119220,Sesleria a Foglie Giunchiformi
7841203,NA
3640295,NA
5356461,NA
8105978,Stortuffmose
2972610,Berg-Esparsette
7307062,Kaskadtimjan
3032719,Saxifrage Ascendante
2676224,Kantig Staartjesmos
5369731,Bulgarian Avens
2974946,Hecken-Wicke
7923515,Soldanelle Des Alpes
2689491,Bekkeblonde
2676100,Fountain Apple-Moss
5365496,Gold-Fingerkraut
8077224,Eurasian Skylark
1798449,Herald
1864358,Small Elephant Hawk-Moth
1427883,Broad-Bodied Chaser
5101678,Ground Lackey
7339315,Maigull
5258678,Orange-Peel Fungus
5742496,Deutsche Skorpionsfliege
1690685,Wart-Biter
9095397,Goblet
3171969,Eufrasia Pettinata
5220170,Chamois
2520862,Willow Bracket
6097236,Orange Swift
8270406,Dingy Skipper
5156102,Western Conifer-Seed Bug
5976740,Macedonian Walking Bush-Cricket
2916975,Pink Woodruff
5371685,Bekkeblom
1071240,Skogtordivel
3172347,Blumen-Esche
3028699,Langhaariger Frauenmantel
3033266,Yellow Anemone
7332007,Orsinis Ehrenpreis
5411465,Campanula Pugliese
7984088,NA
5362008,White Stonecrop
1932411,Green Hairstreak
1734704,Grass Eggar
8153621,Sticky Catchfly
4485798,Knoopkruidschildwants
2722602,Wald-Segge
2797913,Grov Nattfiol
1556243,Strontvlieg
2840460,Black Vanilla Orchid
9213153,Nattfiol
5331235,European Field Pansy
2778437,Onionweed
2858581,Pheasant's-Eye Daffodil
3731843,Orobanche De Pancici
5358748,White Clover
5359018,Braun-Klee
2553128,Hairy Curtain Crust
3143034,Eastern Leopard's-Bane
5392252,Chicory
1923019,Iolas Blue
1920496,Small White
1541562,Gewone Rode Bladloper
4560976,NA
8137961,NA
2716489,Brown Galingale
3992189,Bristly Clubmoss
5329324,Holly-Leaved Naiad
4471016,Blue Ground Beetle
5204862,Bermpje
2360842,Bitterling
2367872,Balkan Golden Loach
4409634,Danube Gudgeon
2365685,Chub
2359706,Roach
2360551,Nase
5334227,Kaprifol
5206749,Large-Spot Barbel
1535529,Variabel Elfje
3112694,Dvergtistel
2394486,Pumpkinseed
2538088,Seta De Olivo
7591079,Salzburger Augentrost
1862765,Striped Hawk-Moth
8285827,Hasenpfoten-Segge
8429926,Bugle Pyramidale
3046041,NA
8185959,Musk Thistle
1901850,Kardinaalsmantel
4535620,Lattice Brown
1880140,NA
5744135,Livid Soldier Beetle
1425240,Blauwe Glazenmaker
5312179,Dingel
5389173,Yellow Oxeye
3172300,Liguster
3817384,Dripide Comune
5976815,Schmidt's Marbled Bush-Cricket
3040249,Osp
8109173,Grizzled Skipper
9220780,Hawthorn
3168109,Kaitakello
5744106,Zwart Soldaatje
2149937,Longbodied Cellar Spider
2880130,Vintereik
6376340,French Meadow-Rue
5284884,Gran
7270381,Schwalbenwurz-Enzian
2925889,Hoher Natternkopf
7127810,Cyclamen De Naples
5341373,Hohes Helmkraut
2875818,Hainbuche
1690432,Oak Bush-Cricket
1838911,Schuursikkelmot
1738245,Zilvervlekbladroller
1909838,Nettle-Tree Butterfly
7845022,Fragrant Orchid
8794742,Purpur-Knabenkraut
2808461,Orchis Punaise
5324940,Balkan Lizard Orchid
2795952,Stor Skogslilja
9117055,Sycamore Tarspot
8925249,Black Crowberry
5249504,Chanterelle
2525710,False Chanterelle
3152374,Wilde Malve
3084719,Common Purslane
5249353,Jelly Tooth
3082234,Cornouiller Sanguin
5248508,Bearded Tooth
2482552,Red-Billed Chough
9702100,Viviparous Lizard
1312367,Gewone Reuzenmier
2840555,Frivald's Gymnadenia
2433753,European Otter
8553372,Zwervend Lieveheersbeestje
5415020,Linaire Commune
2435035,Domestic Cat
2165401,Groene Krabspin
5248458,Earpick Fungus
5242777,Magpie Inkcap
5242507,Liberty Cap
3095609,Common Fleabane
4428461,Chequered Click Beetle
3172001,Garden Snapdragon
2891783,Balfour's Touch-Me-not
4445931,NA
10258634,NA
10029403,NA
3929423,Pulsatille De Haller
3928615,Mogop
7278071,Alpen-Anemone
7277925,Berg-Anemone
1651430,Tiger Mosquito
2891147,Skogstorkenebb
8303746,Mount Olympus Sage
2888948,Alpen-Ampfer
9387884,NA
2232971,Strigamie De L'engadine
2208185,NA
2229218,NA
1022070,NA
10412218,NA
1699913,Sibirische Keulenschrecke
4417555,Steinkrebs
2533359,Estrofaria Verde
5243458,Field Mushroom
5954949,Pine Bolete
7872906,European Mole
2150764,Kraamwebspin
7540164,Brunskogsnegl
7611086,Millepertuis De Richer
2484890,Western Rock Nuthatch
7571319,Eurasian Pygmy Shrew
1761735,Old Lady
7389824,Asian Large Skipper
3127613,Jersey Knapweed
3034830,Hogweed
5858758,Brown Garden Snail
1713302,Braune Strandschrecke
2203611,Common Pill Woodlouse
1684006,Steppen-Sattelschrecke
2178930,Gutspalplynxspin
1782560,Angle Shades
2158999,Platte Wielwebspin
7764232,Paon De Nuit Austral (Le)
7987658,Lawyer's Wig
1315144,Black-Backed Meadow Ant
2965287,Cseplesz Lucerna
3128285,NA
5661495,Albanische Moltkie
3120317,NA
5134682,Arran Brown
4388663,Rhombic Leatherbug
2927280,Betonie
2927000,Clary
3033836,Dauphinelle Consoude
2926894,Black Horehound
3070106,Cypress Spurge
5220136,Fallow Deer
1342108,Violet Carpenter Bee
2426795,Griechischer Frosch
8824388,Salmon Salad
5960862,Adder
3085360,Soapwort
1311527,European Hornet
1013464,Hungarian Pachyiulus
7750780,Blodsnylterot
2926945,Wild Basil
2440891,Ass
3809939,NA
5115771,Four-Spotted Footman
2481047,Peregrine Falcon
4473762,NA
7955974,Scotch Burnet
4473688,NA
4473786,NA
2753505,Albanian Lily
3190653,Tree-of-Heaven
5331347,Wild Pansy
5369701,Water Avens
5640455,Zwerg-Primel
7334006,Orpin Des Alpes
8133541,NA
2925855,Goldendrop
3742214,Alppiwulfenia
7956743,Immortelle
4485843,Brown Marmorated Stink Bug
2926683,White Dead-Nettle
5414062,NA
2494329,Hawfinch
2490274,Tawny Pipit
5228676,Common Swift
2492942,Garden Warbler
2481819,Common Snipe
2478548,Grey-Headed Woodpecker
2497701,Eurasian Scops Owl
2493118,Eurasian Reed Warbler
2492960,Lesser Whitethroat
2487603,Eurasian Treecreeper
6093527,Firecrest
2493551,Savi's Warbler
2489214,Mehlschwalbe
8128385,Wood Warbler
8214667,Eurasian Teal
2493136,Marsh Warbler
2487866,Willow Tit
5229167,Black Kite
2481700,Eurasian Woodcock
5231763,Dunnock
9613112,Black-Headed Bunting
2493012,Cetti's Warbler
2493220,Icterine Warbler
7865305,Ring Ouzel
2498261,Tufted Duck
2495471,Stock Dove
2481719,Marsh Sandpiper
2490737,Fieldfare
2497921,Barn Owl
7806848,Short-Toed Treecreeper
2481726,Common Greenshank
9813242,Merlin
2490266,Meadow Pipit
2498017,Greater White-Fronted Goose
2480259,Pied Avocet
2875780,Orientalisk Avenbok
3797084,Japanlykt
7656811,Streckad Hedspinnare
1165552,Antribe Minime
8338716,Groene Boktor
5410436,Creeping Bellflower
4485839,Almond Stink Bug
7723078,Vortespolebusk
2098131,Fourmillion Longicorne
1428715,Southern Skimmer
1311649,German Wasp
1933095,Brown Argus
2059300,Almindelig Buskcikade
2026242,Bunte Graszirpe
5138561,Silver-Studded Blue
5714680,Reverdin's Blue
5141291,Eastern Festoon
5137903,Wood White
11874998,NA
8946979,Lilienblatt-Sichelschrecke
1425327,Bledi Vetrnjak
2050224,Kalvoruskolude
1717828,Sumpfgrille
5772890,Weaver's Fritillary
1926861,Northern Blue
5002115,Liten Ekbock
7496589,Cigale Des Balkans (La)
2016266,European Alder Spittlebug
7666233,Green Dark Bush-Cricket
1933138,Northern Brown Argus
1896841,Ringlet
1894268,NA
7634721,Chapman's Blue
1708167,Carpathian Dancing Grasshopper
1701343,Kleine Goldschrecke
1716462,Feldgrille
7485500,Gemeine Zikade
1922584,Baton Blue
8133678,Essex Skipper
7728366,Pearly Heath
1918733,Delattin's Grayling
1911278,NA
1911298,Russian Heath
5005597,NA
2013556,NA
8078362,Niobe Fritillary
8168644,Glanville Fritillary
1920851,NA
1688297,Schmidts Buntschrecke
1688031,Gestreifte Zartschrecke
1143990,Lepture Fauve
4391874,Corise De La Jusquiame
4485787,Kleine Sichelfleck-Baumwanze
8393082,Spotted Fritillary
4482791,Lined Spittlebug
7582240,Siljolude
2070972,Brisly Olive Grass Aphid
7622059,Gatekeeper
8356768,Purple-Shot Copper
1928248,Chequered Blue
1931779,Tuominopsasiipi
1925918,Holly Blue
1692724,Blackwinged Saw Bush-Cricket
1421193,Gestreifte Quelljungfer
7648359,Metallfarbener Distelbock
5140214,Common Blue
1928960,NA
4525266,Small Eggar
4532493,Mother Shipton
4483700,Triftengraszirpe
1899349,Lesser Spotted Fritillary
8189761,Twin-Spot Fritillary
1423859,White-Legged Damselfly
1081186,Noble Chafer
4485955,New Forest Shieldbug
8277078,Mallow Skipper
5138543,NA
4535636,Braunauge
1702607,Balkan Pincer Grasshopper
1421199,Balkan Goldenring
11104870,Eschenzikade
4485936,Engbreitege
7664111,Ripart's Anomalous Blue
1934693,Duke of Burgundy Fritillary
7792296,Meadow Grasshopper
7591128,NA
1314946,Bruine Baardmier
5749489,Breed Kapoentje
1428686,Black-Tailed Skimmer
5137706,Pale Clouded Yellow
8140883,Braamparelmoervlinder
1916412,Balkan Marbled White
8273661,Small Skipper
5138681,NA
5879654,Common Swift
7807922,NA
2030364,Ankergraszirpe
4535632,Wall Brown
1899818,Freyer's Fritillary
4486660,Kortschildkeverwants
1539177,Grote Langlijf
5139156,Mazarine Blue
1684290,more-Modest Plump Bush-Cricket
1899433,Heath Fritillary
5758737,Forest Bug
8203812,Berger's Clouded Yellow
5140436,Meleager's Blue
1080269,Guldbasse
1925454,NA
2036109,Triftenzikade
5732383,NA
4488359,Gefleckte Dicknase
1920494,Green-Veined White
1893137,False Grayling
1425203,Southern Migrant Hawker
8321248,Harige Bladvreter
1043082,Adonis' Ladybird
1684269,Showy Plump Bush-Cricket
1920892,NA
4990995,Common Cockchafer
5882965,White-Letter Hairstreak
1921466,NA
1949929,Olive Skipper
1699474,Common Straw Grasshopper
4452301,Behaard Lieveheersbeestje
2008601,Rote Raubwanze
4431768,Richard Coeur De Lion
4431813,Blinkende Prachtkever
7419948,NA
1925233,Adonis Blue
1920498,Balkan Green-Veined White
5865098,Green Emerald Damselfly
9695352,Alfalfa Plant Bug
1926260,Small Blue
2079190,Toortsschildwants
2057695,NA
8138711,Kleiner Schillerfalter
2049024,Punktierte Graszirpe
2016038,Meadow Spittlebug
1902533,Landkaartje
1695309,Fischer's Bush-Cricket
4535510,Dryad
4486682,Harige Rookwants
1792418,Silver y
7538141,NA
2039296,Erlenmaskenzikade
1932976,Lang's Short-Tailed Blue
1924097,Green-Underside Blue
1722161,NA
1920218,Black-Veined White
4485824,Bessenwants
2056389,Zwergspornzikade
2016796,Zwenkenschaumzikade
1918669,Woodland Grayling
1138576,NA
2035333,Gefleckte Zwenkenzirpe
4482797,Waldschaumzikade
1743775,Barred Marble
2049661,Eastern Spruce Gall Adelgid
2015789,Leafhopper
1541217,Drone Fly
1959383,Brown Scallop
2072955,Active Gray Pine Needle Aphid
4427299,NA
4457210,NA
4486687,Doffe Donsrug
1639362,NA
4458867,Bleg Sirbuk
8216670,Ekblombock
5749357,Alnyckelpiga
6097844,Ongevlekt Lieveheersbeestje
1638184,NA
1543205,Brunpannad Fotblomfluga
2072196,Oleander Aphid
1639161,NA
1873079,Indian Meal Moth
2020690,Birnblattwanze
7903078,Esparsetten-Widderchen
2073990,Brun Egebarkbladlus
9559371,NA
2072357,NA
4462355,Eikeaardvlo
1544230,Kegelnarcisvlieg
1539969,Toortsgitje
4516695,Weidegitje
1537266,Bessenbandzweefvlieg
1714140,Kreuzschrecke
1701365,Mottled Grasshopper
1695059,Balkan Saw Bush-Cricket
2072795,Elder Aphid
4516740,Gele Heidedwerg
1688109,Balkan Bright Bush-Cricket
4431775,Anthaxie Du Saule
1790368,NA
1710816,NA
1710463,Kleine Knarrschrecke
