natda_id,national_id,site_name,designation_code,designated_area_type,iucn_management_category,reported_area_ha,designation_year,ecosystem_type,management_plan,designation,designation_sq,authority,area_km2,records,species,records_per_km2,geometry
555641796,PL_005,"Ahishtat e Llomovës, në Selac",XK05,designatedSite,V,93,2019,terrestrial,,Protected Landscape,Peizazh i Mbrojtur,Municipal Authorities,0.9290640109719205,1,1,1.0763521008136687,boundary
555742168,PM_007,Ushton lumi” në Popovë,XK05,designatedSite,V,92,2022,terrestrial,,Protected Landscape,Peizazh i Mbrojtur,Municipal Authorities,0.9188473973145913,0,0,0,boundary
392176,NM_010,Burimi i Drinit të Bardhë me Shpellën dhe Ujëvarën në Radavc,XK06,designatedSite,III,90,1983,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.9012806778781665,87,67,96.529307834291,boundary
392161,NR_005,Gubavci,XK02,strictProtectionBoundary,Ia,76.86,1959,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,0.769382373780299,0,0,0,boundary
555702653,PL_006,Lugina e Lumit Llapushnik ne Pogragjë,XK05,designatedSite,V,75.8,2021,terrestrial,,Protected Landscape,Peizazh i Mbrojtur,Municipal Authorities,0.7580888016843907,11,11,14.510173446117655,boundary
555515216,PL_002,Shkugëza,XK05,designatedSite,V,69,2011,terrestrial,,Protected Landscape,Peizazh i Mbrojtur,Municipal Authorities,0.6907062757521009,7,4,10.134553927974366,boundary
392168,NR_008,Pisha e Madhe,XK02,strictProtectionBoundary,Ia,44,1960,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,0.44880232281927646,0,0,0,boundary
392172,NM_006,Shpella e Gadimes,XK06,designatedSite,III,39,1969,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.3904200903414259,10,10,25.613436007493647,boundary
555589854,NM_126,Kompleksi i pishave në Shtime,XK06,designatedSite,III,35,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.20017309040906325,0,0,0,boundary
555588620,PL_003,Kompleksi i Pishave në Strazhë,XK05,designatedSite,V,25,2016,terrestrial,,Protected Landscape,Peizazh i Mbrojtur,Municipal Authorities,0.25039619390256235,0,0,0,boundary
555589864,NR_012,Lëndina e Shenjtë,XK02,strictProtectionBoundary,Ia,17.98,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,0.17976843466788903,0,0,0,boundary
392179,NM_020,Burimi termomineral në Vuqë,XK06,designatedSite,III,16.6,1988,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.16626753195729294,0,0,0,boundary
392167,NM_108,Bifurkacioni i Lumit Nerodime,XK06,designatedSite,III,15,2015,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.15026226038146345,12,12,79.86037192263836,boundary
392194,PL_001,Pishat e Deçanit,XK05,designatedSite,V,15,1968,terrestrial,,Protected Landscape,Peizazh i Mbrojtur,Municipal Authorities,0.15024766352392452,2,2,13.311355085941369,boundary
392177,NM_011,Rrjedha e lumit Mirusha,XK06,designatedSite,III,12,1983,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.12081130251163896,0,0,0,boundary
555560531,NM_099,Burimet e ujit në Carravranë,XK06,designatedSite,III,9.76,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.0977623504769398,0,0,0,boundary
555635484,NM_162,Kompleksi i Trungjeve Jabllanicë,XK06,designatedSite,III,7.21,2018,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.07188075578352436,0,0,0,boundary
555635489,NM_167,Shpellat e Kusarit 1 dhe 2,XK06,designatedSite,III,5,2018,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.05036440368190966,14,10,277.9741042586521,boundary
392245,NM_073,Burimi i ujit natyral në Istog,XK06,designatedSite,III,3.88,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.038823765633689236,2,2,51.51483807290719,boundary
555702650,MN_200,Shpella e madhe në Uglar,XK06,designatedSite,III,2.63,2021,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.026375186856822108,0,0,0,boundary
555698371,MN_187,Kompleksi i trungjeve të dushkut (Quercus sp.) në Sllatinë të Poshtme,XK06,designatedSite,III,2,2020,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.020843120347885415,0,0,0,boundary
392202,NM_030,Guri i Gradinës në Llapushnik,XK06,designatedSite,III,2,2006,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.02013610402609594,0,0,0,boundary
555560521,NM_089,Shpella e Bozhurit në Damanek,XK06,designatedSite,III,2,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.020053345706010237,0,0,0,boundary
392200,NM_028,Shpella e Kishnarekës,XK06,designatedSite,III,2,2006,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.02003578286988288,0,0,0,boundary
555560522,NM_090,Shpella e Lladroviqit,XK06,designatedSite,III,2,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.020019890160392968,0,0,0,boundary
392181,NM_022,Burimi i ujit në Shajkovc,XK06,designatedSite,III,1.41,1988,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.01411447943520732,0,0,0,boundary
555702640,MN_190,Lokaliteti i Boshtres (Forsytha europea) Golesh,XK06,designatedSite,III,1.4,2021,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,1.2343256902337427,5,4,4.050794729106834,boundary
555702666,MN_215,Kompleksi i trungjeve dushkut ne Shaptej,XK06,designatedSite,III,1.4,2021,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.014663165244342294,0,0,0,boundary
555702667,MN_216,Kompleksi i trungjeve-varrezat e Jagozit ne Gramacel,XK06,designatedSite,III,1.4,2021,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.014149952355063986,0,0,0,boundary
555702665,MN_214,Kompleksi i trungjeve të dushkut (Quercus sp.) në Ratish i Eperm,XK06,designatedSite,III,1.3,2021,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.013176839932532049,0,0,0,boundary
555560524,NM_092,Trungu i Qarrit (Quercus cerris L.) ne Drenovc,XK06,designatedSite,III,1.25,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.012643990194141865,0,0,0,boundary
555635487,NM_165,Kompleksi i Trungjeve ne Mulliq,XK06,designatedSite,III,1.12,2018,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.011201618167142848,0,0,0,boundary
555641788,MN_171,"Shpellat e Kaçandollit, në Kacandoll",XK06,designatedSite,III,1,2019,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.010632382752129807,0,0,0,boundary
555589852,NM_124,Shpella e Bali Ages ne Zatriq,XK06,designatedSite,III,1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.010326446252742781,0,0,0,boundary
555589863,NM_135,Shpella e Devetakut dhe Burimi në Devetak,XK06,designatedSite,III,1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.010072277897519293,0,0,0,boundary
555588614,NM_142,Shpella e Shullanit në Sllatinë,XK06,designatedSite,III,1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.01003920086336229,0,0,0,boundary
555589857,NM_129,Shpella e Pjetërshticës në Pjetërshticë,XK06,designatedSite,III,1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.0100208538903594,0,0,0,boundary
555588617,NM_145,Humnera në shpatin e Qenarës në Glloboqicë,XK06,designatedSite,III,1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.010015620455694384,0,0,0,boundary
555589855,NM_127,Burimi i ujit “Vrella e zezë” në Petrovë,XK06,designatedSite,III,1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.010013995541112496,0,0,0,boundary
555589856,NM_128,Shpella e Imer Devetakut në Devetak,XK06,designatedSite,III,1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,0.010012632809341884,0,0,0,boundary
555635490,NM_168,Burimi i ujit në Kusar,XK06,designatedSite,III,0.99,2018,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392248,NM_076,Burimi i ujit termal në Banjë - Istog,XK06,designatedSite,III,0.85,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560527,NM_095,Trungu i Qarrit (Quercus cerris L.) ne Bellanicë,XK06,designatedSite,III,0.8,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589844,NM_116,Trungu i frasherit (Fraxinus excelsior) në Kaznik,XK06,designatedSite,III,0.8,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560528,NM_096,Trungu i frasherit gjethengushtë (Fraxinus angustifolia Vahl.) në Javiq,XK06,designatedSite,III,0.8,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560525,NM_093,Trungu i qarrit (Quercus cerris L.) ne Bubël 1,XK06,designatedSite,III,0.8,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560526,NM_094,Trungu i qarrit (Quercus cerris L.) ne Bubël 2,XK06,designatedSite,III,0.8,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555702669,MN_218,Trungjet e blirit dhe trungu i pishës ne Drenoc,XK06,designatedSite,III,0.7,2021,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560529,NM_097,Zabeli i Vakëfit në Vermicë,XK06,designatedSite,III,0.7,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560517,NM_085,Shpella e Temeqinës,XK06,designatedSite,III,0.69,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560530,NM_098,Zabeli dhe Vrella ne Javiq,XK06,designatedSite,III,0.51,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392174,NM_019,Shpella e Gllanasellës,XK06,designatedSite,III,0.5,1987,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555635482,NM_160,Trungu i Bungut në Bec,XK06,designatedSite,III,0.5,2018,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555635491,NM_169,Trungu i Qarrit në Vogovë,XK06,designatedSite,III,0.5,2018,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392192,NM_023,Trungu i qarrit (Quercus cerris) në Pollatë,XK06,designatedSite,III,0.44,1988,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392180,NM_021,Burimi i ujit mineral në Sallabajë,XK06,designatedSite,III,0.31,1988,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589853,NM_125,Shpella e Peshterrit në Zatriq,XK06,designatedSite,III,0.3,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392222,NM_050,Kompleksi i trungjeve të rrënjës (Quercus robur) në Gllarevë,XK06,designatedSite,III,0.28,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392254,NM_082,Burimi i ujit në Vrellë,XK06,designatedSite,III,0.26,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555641790,MN_173,"Ujëvara e Trepçalive, në Milenicë",XK06,designatedSite,III,0.25,2019,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555635488,NM_166,Burimi i ujit në Molliq,XK06,designatedSite,III,0.2,2018,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555698373,MN_189,Guri i blinave në Gjylekar,XK06,designatedSite,III,0.2,2020,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392225,NM_067,Trungu i bungut (Quercus pubescens) në Ujëmir,XK06,designatedSite,III,0.2,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555635485,NM_163,Kompleksi i Trungjeve në Zhabel,XK06,designatedSite,III,0.19,2018,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555755392,MN_231,Trungu i dushkut në Suharekë,XK06,designatedSite,III,0.18,2023,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555702659,MN_208,Burimi i ujit mineral ne Deqan,XK06,designatedSite,III,0.17,2021,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392243,NM_071,Trungjet e bungbutës (Quercus pubescens Willd.) në Sinaj,XK06,designatedSite,III,0.17,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392239,NM_066,Guri i Xhamisë në Luzhnicë,XK06,designatedSite,III,0.15,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392238,NM_065,Kompleksi i trungjeve të bungut (Quercus sp.) në Luzhnicë,XK06,designatedSite,III,0.15,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392227,NM_054,Kompleksi i trungjeve të dushkut (Quercus sp). në Savrovë,XK06,designatedSite,III,0.15,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589840,NM_112,Kompleksi i trungjeve të dushkut (Quercus sp.) në Galicë,XK06,designatedSite,III,0.15,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392232,NM_059,Kompleksi i trungjeve të dushkut (Quercus sp.) në Muhlan,XK06,designatedSite,III,0.15,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392234,NM_061,Kompleksi i trungjeve të dushkut (Quercus sp.) në Papaz,XK06,designatedSite,III,0.15,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589858,NM_130,Trungjet e dushkut në Mollopolc,XK06,designatedSite,III,0.15,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555698369,MN_185,Pylli i mllakës (Quercus sp.) në Sllatinë të Epërme,XK06,designatedSite,III,0.14,2020,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555698367,MN_183,Trungjet e Qarrit (Quercus cerris) në Binçë,XK06,designatedSite,III,0.14,2020,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589846,NM_118,Trungjet e dushkut (Quercus sp.) në Dabidol,XK06,designatedSite,III,0.13,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392223,NM_051,Trungu i qarrit (Quercus cerris) në Nagllavkë,XK06,designatedSite,III,0.12,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392240,NM_068,Dy trungjet e manit të zi (Morus nigra L.) në Cerrcë,XK06,designatedSite,III,0.11,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392173,NM_018,Shpella e Baicës,XK06,designatedSite,III,0.11,1987,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555641797,MN_179,Trungjet e rrënjës (Quercus robur) në Sibovc,XK06,designatedSite,III,0.11,2019,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392250,NM_078,Trungu i rrënjës (Quercus robur L.) në Zallq - Zabllaq,XK06,designatedSite,III,0.11,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392211,NM_039,Burimi i ujit termal në Banjë - Skenderaj,XK06,designatedSite,III,0.1,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589838,NM_110,Burimi i ujit termomineral në Gjelbishtë,XK06,designatedSite,III,0.1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392235,NM_062,Dy trungjet e bungut (Quercus sp.) në Bllacë,XK06,designatedSite,III,0.1,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589862,NM_134,Gështenjat e Shtimes në Shtime,XK06,designatedSite,III,0.1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392214,NM_042,Kompleksi i trungjeve të bungbutës (Quercus pubescens Willd.) në Klladernicë,XK06,designatedSite,III,0.1,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392237,NM_064,Lokaliteti i bujgerit (Quercus trojana) në Biraqë,XK06,designatedSite,III,0.1,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589842,NM_114,Trungjet e dushkut (Quercus sp.) në Druarë,XK06,designatedSite,III,0.1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555588602,NM_102,Trungjet e dushkut (Quercus sp.) në Llapashticë të Epërme,XK06,designatedSite,III,0.1,2015,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589841,NM_113,Trungjet e shpardhit (Quercus frainetto) në Zhilivodë,XK06,designatedSite,III,0.1,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392241,NM_069,Trungu i blirit të argjendtë (Tilia tomentosa Moench.) në Lubozhdë,XK06,designatedSite,III,0.1,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555641799,MN_181,Trungu i manit (Morus nigra L.) në Mazgit,XK06,designatedSite,III,0.1,2019,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555588604,NM_104,Vrella dhe Trungu i ahut (Fagus sp.) në Dobratin,XK06,designatedSite,III,0.1,2015,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555596232,NM_152,"Trungjet e Qarrit (Quercus cerris), në Jezerc",XK06,designatedSite,III,0.09,2017,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560519,NM_087,Trungu i bungëbutës (Quercus pubesens Willd.) në Llazicë 1,XK06,designatedSite,III,0.08,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560516,NM_084,Trungu i qarrit (Quercus ceris L.) në Lladrovc,XK06,designatedSite,III,0.08,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560518,NM_086,Trungu i qarrit (Quercus cerris L.) ne Carravranë,XK06,designatedSite,III,0.08,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392178,NM_012,Burimi i ujit mineral në Dresnik,XK06,designatedSite,III,0.07,1985,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392224,NM_052,Burimi i ujit mineral në Rudicë,XK06,designatedSite,III,0.07,2007,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392246,NM_074,Trugu i vodhës (Sorbus domestica L.) në Uçë,XK06,designatedSite,III,0.07,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555635483,NM_161,Trungu i Bungbutes ne Hereq,XK06,designatedSite,III,0.07,2018,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392249,NM_077,Trungu i blirit të kuq (Tilia sp.) në Lubovë,XK06,designatedSite,III,0.07,2008,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555560520,NM_088,Trungu i bungëbutës (Quercus pubesens Willd.) në Llazicë 2,XK06,designatedSite,III,0.07,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555589850,NM_122,Trungu i qarrit (Quercus cerris) dhe Trungu i vidhit (Ulmus minor) në Bratotin,XK06,designatedSite,III,0.07,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
392193,NM_024,Trungu i qarrit (Quercus cerris) në Dobratin,XK06,designatedSite,III,0.07,1988,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555588621,NM_148,Trungjet e bungut Bob,XK06,designatedSite,III,0.06,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555588618,NM_146,Trungjet e dushkut në Ivajë,XK06,designatedSite,III,0.06,2016,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555742158,MN_221,Burimet e ujit në Baicë,XK06,designatedSite,III,0.05,2022,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
555702649,MN_199,Burimi i ujit mineral ne Ponesh,XK06,designatedSite,III,0.05,2021,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,,,,,point
